STRING ID	DESCRIPTION	ENGLISH	FRENCH / FRANÇAIS	SPANISH / ESPAÑOL	GERMAN / DEUTSCH	ITALIAN / ITALIANO	PORTUGUESE / PORTUGUÊS (BR)	PORTUGUESE / PORTUGUÊS (PT)	RUSSIAN / РУССКИЙ	GREEK / ΕΛΛΗΝΙΚΑ	TURKISH / TÜRKÇE	DANISH / DANSK	NORWEGIAN (NB) / NORSK BOKMÅL	SWEDISH / SVENSKA	DUTCH / NEDERLANDS	POLISH / POLSKI	FINNISH / SUOMI	JAPANESE / 日本語	SIMPLIFIED CHINESE / 简体中文	TRADITIONAL CHINESE / 繁体中文	KOREAN / 한국어	CZECH / ČEŠTINA	HUNGARIAN / MAGYAR	ROMANIAN / ROMÂNĂ	THAI / ภาษาไทย	BULGARIAN / БЪЛГАРСКИ	עברית / HEBREW	 العربية / ARABIC	BOSNIAN
CHOICE_WAIT	In-Game VO	Wait	Attendre	Espere	Warten	Aspettare	Esperar		Подождите							Czekać		待つ	等待		기다림	Nápověda	Súgó	Ajutor	ช่วยเหลือ	Помощ	עזרה	مساعدة	Pomoć
CHOICE_YES	In-Game VO	Yes	Oui	Si	Ja	Sì	sim		да							tak		はい	是		예	Nastavení	Beállítások	Preferințe	ตัวเลือก	Настройки	אפשרויות	خيارات	Opcije
CONTEXT_STORY_CHAPTER	[Noun]	Chapter	Chapitre	Capítulo	Kapitel	Capitolo	Capítulo	Capítulo	Глава	Κεφάλαιο	Bölüm	Kapitel	Kapitel	Kapitel	Hoofdstuk	Rozdział	Luku	チャプター	章	章	장	Antialiasing	Élsimítás	Antialiasing	Antialiasing	Изглаждане на ръбове	Antialiasing	تنعيم البكسلة Anti-aliasing	Antialiasing
CONTEXT_STORY_PAGE	[Noun]	Page	Page	Página	Seite	Pagina	Página	Página	Страница	Σελίδα	Sayfa	Side	Side	Sida	Pagina	Strona	Sivu	ページ	页	頁	쪽	Ovládání	Irányítás	Controale	การบังคับ	Управление	מקשים	مفاتيح التحكم	kontrole
MENU_INFO_KEYBOARD_MOVE	How to move with the keyboard	Move: WASD	Déplacer: WASD	Mover: WASD	Bewegen: WASD	Sposta: WASD	Mover: WASD		Перемещение: WASD							Przenieś: WASD		移動：WASD	移动：WASD		이동 : WASD	Vysoká	Magas	Mare	สูง	Висока	גבוה	مرتفع	Visoko
MENU_INFO_KEYBOARD_MOVE_DOWN	How to move down with the keyboard	Move Down: Shift	Déplacer vers le bas: Maj	Mover hacia abajo: Shift	Nach unten bewegen: Umschalttaste	Sposta giù: Maiusc	Mover para baixo: Shift		Опуститься: Shift							Przenieś w dół: Shift		下に移動：Shift	下移：Shift		아래로 이동 : Shift	Nízká	Alacsony	Mic	ต่ำ	Ниска	נמוך	متدني	Nisko
MENU_INFO_KEYBOARD_MOVE_UP	How to move up with the keyboard	Move Up: Space	Monter: l'espace	Mover hacia arriba: espacio	Nach oben bewegen: Raum	Sposta in alto: spazio	Mover para cima: Espaço		Подняться: Space							Przenieś w górę: spacja		上に移動：スペース	向上移动：太空		위로 이동 : 우주	Střední	Közepes	Mediu	ปานกลาง	Средна	בינוני	متوسط	Srednje
MENU_INFO_MOUSE_LOOK	How to look with the mouse	Look: Mouse	Regard: Souris	Mira: ratón	Schauen Sie: Maus	Aspetto: mouse	Aparência: Mouse		Обзор: Mouse							Spójrz: Mysz		見て：マウス	外观：鼠标		봐 : 마우스	Velmi vysoká	Nagyon magas	Foarte bună	สูงมาก	Ултра	מקסימום	فائق جداً	Ultra
MENU_INFO_MOUSE_NO	How to say 'no' with the mouse	No: Mouse Left/Right	Non: souris gauche / droite	No: mouse izquierda / derecha	Nein: Maus links / rechts	No: mouse sinistra / destra	Não: Mouse Esquerdo / Direito		Нет: мышь влево / вправо							Nie: Mysz w lewo / w prawo		いいえ：マウス左/右	否：鼠标左/右		아니오 : 마우스 왼쪽 / 오른쪽	Velmi vysoká	Nagyon magas	Foarte bună	สูงมาก	Много висока	גבוה מאוד	مرتفع جداً	Veoma Visoko
MENU_INFO_MOUSE_YES	How to say 'yes' with the mouse	Yes: Mouse Up/Down	Oui: Souris haut / bas	Sí: mouse arriba / abajo	Ja: Maus hoch / runter	Sì: mouse su / giù	Sim: Mouse para cima / para baixo		Да: мышь вверх / вниз							Tak: Mysz w górę / w dół		はい：マウスアップ/ダウン	是：上/下鼠标		예 : 마우스 위 / 아래	Verze	Verzió	Versiune	เวอร์ชั่น	Версия	גרסה	الإصدار	Verzija
MENU_INFO_TRANSLATION	Info about automated translations.	Note: Translations are currently a work in progress. We apologize for any confusion!	Remarque: les traductions sont actuellement en cours de réalisation. Nous nous excusons pour toute confusion!	Nota: Las traducciones son actualmente un trabajo en progreso. ¡Nos disculpamos por cualquier confusión!	Hinweis: Übersetzungen sind derzeit in Arbeit. Wir entschuldigen uns für etwaige Verwirrung!	Nota: le traduzioni sono attualmente in fase di elaborazione. Ci scusiamo per qualsiasi confusione!	Nota: as traduções são atualmente um trabalho em andamento. Pedimos desculpas por qualquer confusão!		Примечание. В настоящее время переводы находятся в стадии разработки. Мы приносим извинения за любую путаницу!							Uwaga: tłumaczenia są obecnie w toku. Przepraszamy za zamieszanie!		注：翻訳は現在進行中の作業です。 ご迷惑をおかけして申し訳ございません。	注意：翻译目前仍在进行中。 如有任何混淆，我们深表歉意！		참고 : 현재 번역 작업이 진행 중입니다. 혼란을 드려 죄송합니다.	Demo	Demó	Demo	ตัวทดลอง	Демонстрация	דמו	استعرض Demo	Demo
MENU_INFO_VR_NO	How to shake head for 'no'	No: Shake Head	Non: Secouez la tête	No: sacudir la cabeza	Nein: Kopf schütteln	No: scuotere la testa	Não: agite a cabeça		Нет: встряхнуть голову							Nie: potrząśnij głową		いいえ：シェイクヘッド	否：摇头		아니오 : 쉐이크 헤드								
MENU_INFO_VR_ROTATE	How to snap-rotate using the thumbpad.	Rotate: Swipe Thumbpad Left/Right	Rotation: faites glisser le pavé numérique vers la gauche / droite	Girar: deslizar el teclado hacia la izquierda / derecha	Drehen: Wischen Sie mit dem Daumen nach links / rechts	Ruota: scorri la levetta sinistra / destra	Girar: deslize o dedo para a esquerda / direita		Поверните: проведите пальцем влево / вправо							Obracanie: przesuń palcem w lewo / w prawo		回転：サムパッドを左/右にスワイプ	旋转：向左/向右滑动拇指板		회전 : 왼쪽 / 오른쪽으로 쓸어 넘기기								
MENU_INFO_VR_YES	How to nod head for 'yes'	Yes: Nod Head	Oui: Nod Head	Sí: cabeza de cabeceo	Ja: Nicke Kopf	Sì: annuisci	Sim: Nod Head		Да: кивок головы							Tak: skinieniem głowy		はい：うなずく頭	是：点头		예 : 노드 헤드								
MENU_LABEL_CHOICES	Label for the list of choices the player has available.	Choices	Les choix	Opciones	Entscheidungen	scelte	Escolhas		Выбор							Wybory		選択肢	选择项		선택								
MENU_LABEL_CONTINUE	In-Game VO	Continue	Continuer	Seguir	Fortsetzen	Continua	Continuar		Продолжать							Kontyntynuj		継続する	继续		계속하다								
MENU_LABEL_CONTINUE_WIP	In-Game VO	Continue (Alpha)	Continuer (Alpha)	Continuar (Alfa)	Weiter (Alpha)	Continua (Alpha)	Continue (Alpha)		Продолжить (Альфа)							Kontynuuj (alfa)		続行（アルファ）	继续（Alpha）		계속 (알파)								
MENU_LABEL_FEEDBACK	In-Game VO	Leave Feedback	Laisser les commentaires	Deja un comentario	Hinterlasse Kommentar	Lascia un feedback	Deixe um feedback		Оставить отзыв							Wystawić opinię		フィードバックを残す	留下反馈		피드백 남기기								
MENU_LABEL_GAME_TITLE	In-Game VO	StoryCore	StoryCore	StoryCore	StoryCore	StoryCore	StoryCore		StoryCore							StoryCore		StoryCore	故事核心		StoryCore								
MENU_LABEL_GRAPHICS		Graphics	Graphismes	Gráficos	Grafik	Grafica	Gráficos	Gráficos	Графика	Γραφικά	Grafikler	Grafik	Grafikk	Grafik	Beeld	Grafika	Grafiikka	グラフィック	图形设置	圖形設置	그래픽								
MENU_LABEL_LANGUAGE		Language	Langue	Idioma	Sprache	Lingua	Idioma	Linguagem	Язык	Γλώσσα	Dil	Sprog	Språk	Språk	Taal	Jezyk	Kieli	言語	语言	語言	언어								
MENU_LABEL_MAINMENU		Main Menu	Menu principal	Menú principal	Hauptmenü	Menu principale	Menu Principal	Menu Principal	Главное меню	Κεντρικό Μενού	Ana Menü	Hovedmenu	Hovedmeny	Huvudmeny	Hoofdmenu	Menu Główne	Päävalikko	メインメニュー	主界面	主界面	메뉴								
MENU_LABEL_MUSIC		Music	Musique	Música	Musik	Musica	Música	Música	Музыка	Μουσική	Müzik	Musik	Musikk	Musik	Muziek	Muzyka	Musiikki	音楽	音乐	音樂	음악								
MENU_LABEL_NO		No	Non	No	Nein	No	Não	Não	Нет	Όχι	Hayır	Nej	Nei	Nej	Nee	Nie	Ei	いいえ	否	否	아니요								
MENU_LABEL_NO_QUESTION	In-Game VO	No?	Non?	¿No?	Nein?	No?	Não?		Нет?							Nie?		番号？	没有？		아니?								
MENU_LABEL_OPEN_JOURNAL	In-Game VO	Open Journal	Journal ouvert	Diario abierto	Journal öffnen	Apri diario	Diário aberto		Открыть журнал							Otwórz dziennik		オープンジャーナル	公开日记		오픈 저널								
MENU_LABEL_OPEN_JOURNAL_KBM	In-Game VO	Press 'E'	Appuyez sur 'E'	Presione 'E'	Drücken Sie 'E'	Premi "E"	Pressione 'E'		Нажмите 'E'							Naciśnij „E”		「E」を押す	按“ E”		E'를 누르십시오.								
MENU_LABEL_OPEN_JOURNAL_VR	In-Game VO	Press 'X' or 'Menu'	Appuyez sur 'X' ou 'Menu'	Presione 'X' o 'Menú'	Drücken Sie 'X' oder 'Menü'	Premi "X" o "Menu"	Pressione 'X' ou 'Menu'		Нажмите "X" или "Меню"							Naciśnij „X” lub „Menu”		「X」または「メニュー」を押します	按“ X”或“菜单”		X'또는 '메뉴'를 누릅니다.								
MENU_LABEL_PLAY_AGAIN		Play again	Rejouer	Jugar otra vez	Noch einmal spielen	Gioca di nuovo	Jogar novamente	Jogar novamente	Играть заново	Ξαναπαίξε	Tekrar Oyna	Spil igen	Spill igjen	Spela igen	Speel opnieuw	Zagraj jeszcze raz	Pelaa uudestaan	再プレイ	再玩一次	再玩一次	다시 하기								
MENU_LABEL_QUIT	Leave the game (keep short)	Quit	Quitter	Cerrar	Beenden	Esci	Sair	Sair	Выход	Έξοδος	Oyunu Kapat	Afslut	Avslutt	Avsluta	Stoppen	Wyjdź	Lopeta	終了する	退出	退出	종료								
MENU_LABEL_RESET_PROGRESS	In-Game VO	Reset Progress	Réinitialiser la progression	Restablecer progreso	Fortschritt zurücksetzen	Ripristina avanzamento	Redefinir progresso		Сбросить прогресс							Resetuj postęp		進行状況をリセット	重置进度		진행 재설정								
MENU_LABEL_SEE_MORE		See more	Voir plus	Ver más	Mehr sehen	Vedi altro	Ver mais		Узнать больше							Zobacz więcej		続きを見る	查看更多		더보기								
MENU_LABEL_YES		Yes	Oui	Sí	Ja	Sì	Sim	Sim	Да	Ναι	Evet	Ja	Ja	Ja	Ja	Tak	Kyllä	はい	是	是	예								
MENU_LABEL_YES_QUESTION	In-Game VO	Yes?	Oui?	¿Si?	Ja?	Sì?	Sim?		Да?							Tak?		はい？	是？		예?								
MENU_LANGUAGE_THIS	"MyLanguage" in native text	English	Français	Español	Deutsch	Italiano	Português Brasileiro	Português	Pусский	Ελληνικά	Türkçe	Dansk	Norsk Bokmål	Svenska	Nederlands	Polski	Suomi	日本語	简体中文	繁體中文	한국어								
MENU_MODE_HELP		Help	Aide	Ayuda	Hilfe	Aiuto	Ajuda	Ajuda	Помощь	Βοήθεια	Yardım	Hjælp	Hjelp	Hjälp	Help	Pomoc	Ohje	ヘルプ	帮助	幫助	도움말								
MENU_OPTIONS		Options	Options	Opciones	Optionen	Opzioni	Opções	Opções	Настройки	Επιλογές	Ayarlar	Indstillinger	Innstillinger	Inställningar	Instellingen	Ustawienia	Asetukset	設定	设置	設置	설정								
MENU_OPTIONS_ANTIALIASING		Anti-aliasing	Antialiasing	Anti-aliasing	Antialiasing	Antialiasing	Antisserrilhamento	Antisserrilhamento	Сглаживание	Anti-Aliasing	Kenar Yumuşatma	Antialiasing	Antialiasing	Kantutjämning	Anti-kartelvorming	Antyaliasing	Reunanpehmennys	アンチエイリアス	抗锯齿	抗锯齿	안티에일리어싱								
MENU_OPTIONS_CONTROLS		Controls	Contrôles	Controles	Tastenbelegung	Comandi	Controles	Controlos	Управление	Χειρισμός	Kontroller	Tastindstillinger	Kontroller	Kontroller	Besturing	Sterowanie	Ohjausasetukset	操作方法	操作模式	操作模式	조작 방식								
MENU_OPTIONS_POSTPROCESS_FX		Post Process FX	Effets post-traitement	Efectos posteriores al proceso	Nachbearbeitungseffekte	Post Process Effects	Efeitos pós-processo		Постобработка							Efekty postprocesowe		ポストプロセス効果	后期处理效果		포스트 프로세스 효과								
MENU_OPTIONS_SUBTITLES	Subtitle toggle label.	Subtitles	Les sous-titres	Subtítulos	Untertitel	Sottotitoli	Legendas		Субтитры							Napisy na filmie obcojęzycznym		字幕	字幕		자막								
MENU_OPTIONS_VR_ROTATE	Rotate the player in VR toggle label	Thumbpad Rotate	Thumbpad Rotate	Girar el teclado	Daumenpad drehen	Rotellina del mouse Ruota	Rotação do Thumbpad		Поворот пальца							Thumbpad Rotate		サムパッド回転	拇指板旋转		엄지 손가락 회전								
MENU_OPTIONS_YES_NO_GESTURE	Yes/no gesture on/off toggle label	Yes/No Gesture	Oui / Non Geste	Sí / no gesto	Ja / Nein Geste	Sì / No Gesto	Sim / Não Gesto		Да / Нет Жест							Tak / Nie Gest		はい/いいえジェスチャー	是/否手势		예 / 아니요 제스처								
MENU_OPTIONS_YES_NO_VISUALS	Yes/no visualization on/off toggle label	Yes/No Visuals	Oui / Non Visuels	Sí / no visuales	Ja / Nein Visuals	Sì / No Visuals	Sim / Não Visuais		Да / Нет Визуальные							Tak / Nie Wizualizacje		はい/いいえビジュアル	是/否视觉效果		예 / 아니요								
MENU_SETTING_HIGH	(Generic)	High	Haut	Alta	Hoch	Alto	Alto	Alto	Высокий	Υψηλό	Yüksek	Høj	Høy	Hög	Hoog	Wysokie	Korkea	高	高	高	높음								
MENU_SETTING_LOW	(Generic)	Low	Bas	Baja	Niedrig	Basso	Baixo	Baixo	Низкий	Χαμηλό	Alçak	Lav	Lav	Låg	Laag	Niskie	Matala	低	低	低	낮음								
MENU_SETTING_MEDIUM	(Generic)	Medium	Moyen	Medio	Mittel	Medio	Médio	Médio	Средний	Μέτριο	Orta	Mellem	Middels	Medium	Gemiddeld	Srednie	Normaali	中	中	中	중간								
MENU_SETTING_ULTRA	(Generic) Very High (short)	Ultra	Très élevé	Ultra	Sehr hoch	Molto alta	Ultra	Muito alto	Ультра	Πολύ υψηλή	Çok Yüksek	Meget høj	Svært høy	Mycket hög	Zeer hoog	Poziom b. wysoki	Erittäin korkea	ウルトラ	非常高	最高	매우 높음								
MENU_SETTING_VERY_HIGH	(Generic)	Very High	Très élevé	Muy alta	Sehr hoch	Molto alta	Muito alto	Muito alto	Очень высокое	Πολύ υψηλή	Çok Yüksek	Meget høj	Svært høy	Mycket hög	Zeer hoog	Bardzo wysoka	Erittäin korkea	最高	非常高	最高	매우 높음	Velmi vysoká	Nagyon magas	Foarte bună	สูงมาก	Много висока	גבוה מאוד	مرتفع جداً	Veoma Visoko
MENU_VERSION	Game's version number	Version	Version	Versión	Version	Versione	Versão	Versão	Версия	Έκδοση	Versiyon	Version	Versjon	Version	Versie	Wersja	Versio	バージョン	版本	版本	버전	Verze	Verzió	Versiune	เวอร์ชั่น	Версия	גרסה	الإصدار	Verzija
MENU_VERSION_DEMO	Demo version [short]  '0.3.3 Demo'	Demo	Démo	Demo	Demo	Demo	Demo	Demo	Демо	Έκδοση επίδειξης	Demo	Demo	Demo	Demo	Demo	Demo	Demo	デモ	试玩版	試玩版	체험판	Demo	Demó	Demo	ตัวทดลอง	Демонстрация	דמו	استعرض Demo	Demo
MOVE_APPROACH	In-Game VO	Approach	Approche	Acercarse	Ansatz	Approccio	Aproximação		Подход							Podejście		アプローチ	方法		접근하다								
MOVE_LEAVE	In-Game VO	Leave	Partir	Salir	Verlassen	Partire	Sair		Покинуть							Wychodzić		去る	离开		떠나다								
NOTE00_TEXT	In-Game VO	Test localized notification text.	Testez le texte de notification localisé.	Pruebe el texto de notificación localizado.	Testen Sie den lokalisierten Benachrichtigungstext.	Prova il testo di notifica localizzato.	Teste o texto de notificação localizado.		Протестируйте локализованный текст уведомления.							Przetestuj zlokalizowany tekst powiadomienia.		ローカライズされた通知テキストをテストします。	测试本地化的通知文本。		현지화 된 알림 텍스트를 테스트합니다.								
NOTE00_TITLE	In-Game VO	Localized Notification	Notification localisée	Notificación localizada	Lokalisierte Benachrichtigung	Notifica localizzata	Notificação localizada		Локализованное уведомление							Zlokalizowane powiadomienie		ローカライズされた通知	本地化通知		현지화 된 알림								
